rating,peer.rank,condition,gender,age,ingroup.value,ingroup.like,ingroup.connected,outgroup.value,outgroup.like,outgroup.connected,ingroup.average,outgroup.average,peer.rank2
62.26,15,ingroup,1,27,65.09,68.3,71.13,32.26,25.47,37.36,36.34666667,-36.60666667,-70
62.64,20,neutral,1,29,21.13,22.64,12.64,3.21,1.7,0,-62.39333333,-96.72666667,-60
62.95,40,neutral,2,45,100,100,100,0,0,0,100,-100,-20
63.02,69,outgroup,2,33,47.74,47.74,47.36,31.13,41.13,41.89,-4.773333333,-23.9,38
63.02,86,buddhist,1,42,70.75,69.43,70.19,0,0,0,40.24666667,-100,72
63.09,63,outgroup,2,51,57.82,60.26,61.58,54.8,47.65,46.7,19.77333333,-0.566666667,26
63.4,59,buddhist,1,32,82.64,67.55,62.83,7.17,1.51,0.75,42.01333333,-93.71333333,18
63.77,50,outgroup,2,44,80,80,73.21,6.23,0.94,0,55.47333333,-95.22,0
64.29,60,outgroup,2,31,87.99,75.97,78.57,67.86,38.96,19.81,61.68666667,-15.58,20
64.91,35,ingroup,1,30,58.11,66.79,65.66,14.72,6.6,0,27.04,-85.78666667,-30
64.97,32,outgroup,1,24,15.07,45.2,59.51,11.86,13.75,3.95,-20.14666667,-80.29333333,-36
65.28,50,buddhist,2,40,39.43,39.25,40.38,36.42,37.55,38.49,-20.62666667,-25.02666667,0
65.28,50,outgroup,1,23,77.55,93.4,57.36,32.26,6.23,0,52.20666667,-74.34,0
65.35,44,neutral,2,33,70.43,63.47,50.28,21.47,2.07,0,22.78666667,-84.30666667,-12
66.04,50,ingroup,2,26,65.85,32.83,31.32,63.4,9.06,0,-13.33333333,-51.69333333,0
66.42,78,ingroup,2,26,100,100,100,0,0,0,100,-100,56
66.79,43,ingroup,1,20,66.79,73.58,73.21,16.23,25.09,2.64,42.38666667,-70.69333333,-14
67.17,20,outgroup,1,21,56.98,58.3,26.04,56.04,56.42,32.45,-5.786666667,-3.393333333,-60
67.23,51,ingroup,2,50,57.82,65.35,70.24,0,0,0,28.94,-100,2
68.68,50,neutral,1,21,90.94,79.25,100,31.89,20,0,80.12666667,-65.40666667,0
69.43,76,ingroup,2,19,73.96,84.72,62.08,38.87,26.79,19.43,47.17333333,-43.27333333,52
69.43,36,buddhist,2,36,60.19,56.04,55.85,24.34,1.32,0,14.72,-82.89333333,-28
69.81,29,ingroup,1,52,78.3,76.98,96.04,62.83,23.77,14.72,67.54666667,-32.45333333,-42
70.22,51,ingroup,2,45,80.73,87.53,100,41.95,34.92,36.74,78.84,-24.26,2
70.57,50,outgroup,1,35,14.53,8.49,0,8.49,0,0,-84.65333333,-94.34,0
70.94,95,buddhist,1,19,73.77,73.4,55.85,65.66,49.06,26.23,35.34666667,-6.033333333,90
71.32,48,outgroup,2,30,74.72,77.17,77.17,0.57,0.19,0.19,52.70666667,-99.36666667,-4
71.95,89,buddhist,2,25,0,0,88.11,28.35,17.68,0,-41.26,-69.31333333,78
72.08,49,ingroup,2,27,82.26,81.89,88.3,28.49,10.57,8.49,68.3,-68.3,-2
72.08,79,neutral,1,29,78.11,75.47,81.89,12.83,18.11,13.77,56.98,-70.19333333,58
72.08,83,buddhist,1,46,54.34,58.49,56.6,38.3,18.87,19.43,12.95333333,-48.93333333,66
72.5,50,neutral,1,27,37.66,43.13,33.9,21.09,21.66,16.38,-23.54,-60.58,0
72.83,7,outgroup,1,28,71.7,87.17,66.6,21.89,4.34,13.96,50.31333333,-73.20666667,-86
72.83,50,neutral,2,28,72.26,65.47,72.64,55.09,54.15,42.64,40.24666667,1.253333333,0
73.21,87,ingroup,2,29,89.43,70.57,68.68,77.74,66.42,54.72,52.45333333,32.58666667,74
73.21,93,outgroup,1,31,98.11,92.45,83.4,21.13,7.17,3.4,82.64,-78.86666667,86
73.58,98,outgroup,1,26,100,69.43,87.92,0,0,4.72,71.56666667,-96.85333333,96
73.58,71,ingroup,2,21,48.49,75.47,90.57,22.45,1.7,0,43.02,-83.9,42
73.96,45,buddhist,2,21,17.17,11.32,4.53,10,1.89,1.7,-77.98666667,-90.94,-10
73.96,11,neutral,2,32,80.19,79.06,77.74,15.28,16.79,16.6,57.99333333,-67.55333333,-78
74.34,77,ingroup,1,45,22.08,21.32,22.08,79.81,25.85,25.09,-56.34666667,-12.83333333,54
74.59,42,buddhist,2,46,85.85,91.67,77.44,15.32,19.59,0,69.97333333,-76.72666667,-16
74.72,15,ingroup,2,24,54.34,58.87,52.64,22.83,2.83,15.09,10.56666667,-72.83333333,-70
74.72,69,outgroup,2,53,82.83,84.34,82.64,20,19.62,7.36,66.54,-68.68,38
74.76,56,neutral,1,29,83.8,81.17,83.24,48.4,50.09,50.09,65.47333333,-0.946666667,12
75.09,40,outgroup,2,25,66.42,46.04,34.34,18.49,24.53,10.57,-2.133333333,-64.27333333,-20
75.09,51,neutral,2,27,75.47,78.68,100,18.11,0,0,69.43333333,-87.92666667,2
75.47,20,buddhist,1,20,72.83,77.17,68.49,27.17,38.11,19.43,45.66,-43.52666667,-60
76.18,35,neutral,2,62,81.09,100,99.62,26.84,64.84,33.84,87.14,-16.32,-30
76.23,70,buddhist,2,31,56.23,57.17,70.19,55.66,53.4,54.15,22.39333333,8.806666667,40
76.23,50,outgroup,2,31,59.25,60.57,58.49,36.04,33.4,33.58,18.87333333,-31.32,0
76.6,9,ingroup,1,32,26.6,16.23,9.06,0,0,0,-65.40666667,-100,-82
76.6,68,ingroup,2,32,50.57,53.96,53.21,6.23,0,1.89,5.16,-94.58666667,36
76.65,98,ingroup,1,31,64.97,65.35,64.22,41.81,9.98,9.04,29.69333333,-59.44666667,96
77.36,81,ingroup,1,43,63.96,82.64,74.34,37.36,32.45,18.11,47.29333333,-41.38666667,62
77.4,51,neutral,2,21,76.46,83.43,87.01,7.91,0,0,64.6,-94.72666667,2
77.92,62,outgroup,2,37,66.88,74.03,63.64,5.84,26.95,5.52,36.36666667,-74.46,24
78.11,52,ingroup,1,58,75.66,76.79,68.3,17.74,19.25,21.89,47.16666667,-60.74666667,4
78.15,21,outgroup,2,24,83.05,82.11,81.92,10.92,9.79,9.04,64.72,-80.16666667,-58
78.15,71,ingroup,2,22,66.1,75.33,88.51,30.7,31.07,0.56,53.29333333,-58.44666667,42
78.49,80,neutral,2,26,81.7,82.83,82.83,65.28,43.4,50,64.90666667,5.786666667,60
79.25,51,outgroup,1,38,39.06,60.75,35.28,12.64,12.64,0,-9.94,-83.14666667,2
79.25,70,outgroup,1,18,91.32,92.64,94.72,11.13,5.66,11.13,85.78666667,-81.38666667,40
79.25,91,neutral,2,29,70.75,69.62,70.57,50.19,50,51.13,40.62666667,0.88,82
79.25,60,outgroup,1,25,76.04,60,63.21,25.28,5.28,0,32.83333333,-79.62666667,20
79.5,79,ingroup,2,26,67.25,51.25,52.75,8.25,8.5,9.5,14.16666667,-82.5,58
79.59,62,ingroup,1,28,38.56,21.74,20.98,35.54,32.89,34.59,-45.81333333,-31.32,24
79.62,81,neutral,2,60,99.43,97.77,94.3,4.6,1.51,1.89,94.33333333,-94.66666667,62
79.62,72,ingroup,1,27,54.53,61.13,56.6,61.13,60.19,40.94,14.84,8.173333333,44
79.62,69,outgroup,1,22,50.94,36.42,70.38,36.23,35.85,13.96,5.16,-42.64,38
79.62,64,neutral,2,32,81.51,83.96,91.89,20,10,4.72,71.57333333,-76.85333333,28
79.97,30,ingroup,2,44,78.64,80.91,66.73,13.23,0,0,50.85333333,-91.18,-40
80,38,outgroup,1,19,83.21,69.62,71.51,75.09,51.7,11.13,49.56,-8.053333333,-24
80,69,neutral,2,47,60.38,60.57,56.98,0,0,0,18.62,-100,38
80,50,buddhist,1,27,73.77,74.34,74.15,65.28,66.23,59.62,48.17333333,27.42,0
80.04,90,neutral,2,52,67.61,66.85,63.65,35.97,36.16,28.25,32.07333333,-33.08,80
80.34,50,neutral,1,36,90,82.69,71.92,5.77,0,0,63.07333333,-96.15333333,0
80.38,51,ingroup,2,35,77.36,78.3,78.49,38.11,19.81,12.64,56.1,-52.96,2
80.38,49,ingroup,1,24,33.58,33.02,37.55,71.7,72.64,70.19,-30.56666667,43.02,-2
80.38,80,ingroup,1,28,81.13,67.92,58.11,80.57,26.42,14.34,38.10666667,-19.11333333,60
80.75,39,outgroup,2,32,52.08,52.08,44.34,37.36,35.85,30.38,-1,-30.94,-22
80.75,90,outgroup,1,31,47.74,47.17,30.57,33.96,23.4,21.32,-16.34666667,-47.54666667,80
80.75,39,ingroup,2,33,80.57,80,81.13,64.34,50,49.43,61.13333333,9.18,-22
80.75,85,ingroup,1,24,34.53,21.32,20.38,17.55,15.66,0,-49.18,-77.86,70
80.75,59,neutral,1,31,63.77,87.36,76.98,27.92,15.85,3.4,52.07333333,-68.55333333,18
80.75,49,buddhist,2,26,89.25,94.34,92.26,15.66,16.42,13.77,83.9,-69.43333333,-2
80.79,80,ingroup,1,35,50.09,50.09,54.05,50.28,50.09,39.74,2.82,-6.593333333,60
80.79,18,ingroup,2,35,78.3,78.68,99.81,31.7,21.13,7.36,71.19333333,-59.87333333,-64
81.13,30,outgroup,1,36,65.47,64.91,72.26,32.08,6.79,0,35.09333333,-74.08666667,-40
81.13,54,outgroup,1,28,100,100,100,0,0,0,100,-100,8
81.13,40,outgroup,2,35,73.77,94.15,100,28.11,0.57,0,78.61333333,-80.88,-20
81.13,94,buddhist,1,22,75.09,68.68,23.77,55.66,46.23,10.94,11.69333333,-24.78,88
81.13,50,ingroup,1,34,82.64,93.58,90.38,16.42,0.94,0,77.73333333,-88.42666667,0
81.13,5,outgroup,2,30,92.26,94.15,93.4,51.51,6.23,2.45,86.54,-59.87333333,-90
81.17,32,neutral,2,40,85.31,82.67,86.06,59.32,26.55,0.94,69.36,-42.12666667,-36
81.17,100,ingroup,2,26,92.47,57.44,51.41,61.96,58,40.49,34.21333333,6.966666667,100
81.17,7,ingroup,2,31,87.38,77.02,64.6,34.84,16.2,0,52.66666667,-65.97333333,-86
81.17,83,ingroup,1,46,75.89,84.93,66.48,59.32,39.74,36.72,51.53333333,-9.48,66
81.51,50,neutral,1,23,62.45,50,24.15,65.28,33.96,0.19,-8.933333333,-33.71333333,0
81.51,75,ingroup,1,52,63.58,63.58,55.85,47.36,46.42,2.64,22.00666667,-35.72,50
81.51,49,ingroup,1,40,56.23,68.68,77.36,32.45,4.15,4.15,34.84666667,-72.83333333,-2
81.51,19,ingroup,2,39,51.89,52.26,52.26,46.6,43.58,45.28,4.273333333,-9.693333333,-62
81.51,10,outgroup,1,55,28.3,28.11,26.79,29.62,29.62,28.87,-44.53333333,-41.26,-80
81.51,78,ingroup,2,49,55.47,60.19,47.36,46.98,58.87,43.96,8.68,-0.126666667,56
81.54,40,neutral,1,56,65.09,71.7,66.42,6.23,5.85,5.09,35.47333333,-88.55333333,-20
81.54,30,neutral,1,32,12.24,12.43,11.49,4.71,4.9,4.52,-75.89333333,-90.58,-40
81.89,9,ingroup,2,30,91.32,92.26,80.38,14.34,16.04,0,75.97333333,-79.74666667,-82
81.89,90,outgroup,1,29,76.11,70,59.51,28.57,48.79,19.51,37.08,-35.42,80
81.89,51,outgroup,2,22,32.45,26.98,16.6,11.13,0,0,-49.31333333,-92.58,2
81.89,30,outgroup,2,26,100,100,91.51,11.32,0,0,94.34,-92.45333333,-40
81.89,66,ingroup,2,27,70.19,59.62,69.62,33.4,1.32,3.02,32.95333333,-74.84,32
81.89,50,buddhist,1,38,82.08,74.91,75.47,16.98,17.74,19.25,54.97333333,-64.02,0
81.92,51,ingroup,1,66,87.95,87.19,86.82,9.04,9.98,10.17,74.64,-80.54,2
81.92,50,buddhist,2,32,93.41,100,98.12,36.72,30.51,0,94.35333333,-55.18,0
82.07,80,outgroup,2,60,50,50,50,46.38,42.93,43.28,0,-11.60666667,60
82.09,50,outgroup,2,31,86.64,78.71,72.69,24.82,24.23,0.59,58.69333333,-66.90666667,0
82.26,50,neutral,2,55,50,50,50,20,20.38,19.43,0,-60.12666667,0
82.26,78,outgroup,1,24,67.74,78.3,70.94,35.09,25.47,6.23,44.65333333,-55.47333333,56
82.26,70,outgroup,1,37,61.7,65.66,66.6,34.53,35.28,35.85,29.30666667,-29.56,40
82.26,93,outgroup,1,32,84.15,77.92,68.68,33.02,42.08,39.25,53.83333333,-23.76666667,86
82.41,50,buddhist,2,55,75.29,83.45,82.07,26.21,17.45,9.24,60.54,-64.73333333,0
82.64,69,outgroup,2,54,46.04,46.04,53.77,15.09,26.04,25.66,-2.766666667,-55.47333333,38
82.64,52,ingroup,2,30,75.85,74.53,75.66,50,50,33.96,50.69333333,-10.69333333,4
82.67,30,buddhist,2,62,77.59,63.28,64.03,62.71,38.79,5.08,36.6,-28.94666667,-40
83.4,40,neutral,2,37,100,100,100,0,0,0,100,-100,-20
83.4,34,ingroup,1,20,26.6,33.4,67.55,21.13,12.64,13.77,-14.96666667,-68.30666667,-32
83.4,55,ingroup,2,24,88.11,94.53,80,10.19,0,4.34,75.09333333,-90.31333333,10
83.4,50,buddhist,1,20,79.25,75.09,69.25,0.57,1.51,0,49.06,-98.61333333,0
83.4,70,outgroup,2,31,83.77,83.21,76.6,19.81,5.85,2.45,62.38666667,-81.26,40
84.15,76,outgroup,2,31,82.26,84.15,82.64,26.04,11.13,11.51,66.03333333,-67.54666667,52
84.15,89,outgroup,2,40,46.6,46.98,40.94,4.72,2.45,2.26,-10.32,-93.71333333,78
84.53,78,outgroup,2,55,45.66,36.04,31.89,37.17,34.53,40.38,-24.27333333,-25.28,56
84.53,50,outgroup,1,45,70.75,65.66,52.26,69.25,37.74,38.49,25.78,-3.013333333,0
84.91,59,ingroup,2,22,61.13,72.83,66.79,45.09,20.94,39.62,33.83333333,-29.56666667,18
85.28,66,outgroup,1,32,43.4,65.85,60,19.81,30.19,12.45,12.83333333,-58.36666667,32
85.52,38,neutral,1,29,98.1,99.14,100,0,0,0.17,98.16,-99.88666667,-24
86.04,46,ingroup,2,28,53.21,54.34,52.45,51.7,55.28,42.26,6.666666667,-0.506666667,-8
86.42,13,outgroup,2,32,43.58,45.09,18.68,39.62,37.55,5.09,-28.43333333,-45.16,-74
86.79,53,neutral,2,23,71.32,77.36,67.74,56.42,38.68,12.08,44.28,-28.54666667,6
86.79,88,ingroup,2,52,64.9,60.56,59.81,39.43,39.81,7.73,23.51333333,-42.02,76
86.82,40,outgroup,2,24,79.47,88.7,69.68,4.9,1.32,5.27,58.56666667,-92.34,-20
87.19,37,neutral,2,31,58.76,49.15,61.39,40.87,45.01,19.02,12.86666667,-30.06666667,-26
87.43,84,outgroup,2,47,73.29,63.7,18.21,25.37,14.26,1.68,3.466666667,-72.46,68
87.92,69,outgroup,2,23,25.85,51.7,52.45,33.21,9.81,11.13,-13.33333333,-63.9,38
88.7,94,buddhist,2,49,92.83,96.23,94.53,0,0.19,0,89.06,-99.87333333,88
89.06,69,outgroup,1,34,67.92,75.47,86.79,22.08,24.15,27.92,53.45333333,-50.56666667,38
89.34,10,neutral,1,24,91.74,50,49.11,51.95,44.49,0,27.23333333,-35.70666667,-80
89.43,72,buddhist,1,37,37.17,56.04,20.75,42.26,35.09,31.7,-24.02666667,-27.3,44
89.44,51,outgroup,1,27,20.38,18.3,17.73,11.51,10.56,3.58,-62.39333333,-82.9,2
89.81,50,outgroup,1,45,75.47,84.91,77.55,36.23,22.83,0,58.62,-60.62666667,0
90.57,59,outgroup,1,24,68.11,81.32,68.49,18.49,25.85,7.17,45.28,-65.66,18
90.91,86,outgroup,1,30,61.53,75.25,59.5,18.5,27.25,31.75,30.85333333,-48.33333333,72
90.94,60,buddhist,2,50,57.55,56.6,46.04,10.75,5.85,0,6.793333333,-88.93333333,20
90.94,83,ingroup,2,35,93.02,94.15,94.91,52.83,49.43,48.68,88.05333333,0.626666667,66
91.32,50,ingroup,2,26,76.42,50,30.19,3.77,3.96,0,4.406666667,-94.84666667,0
91.32,95,outgroup,2,33,67.17,63.02,50.94,40.94,13.58,44.15,20.75333333,-34.22,90
91.44,37,neutral,2,32,95.47,100,32.2,0,0,0,51.78,-100,-26
91.71,95,ingroup,2,30,63.65,67.61,56.87,56.31,52.17,46.33,25.42,3.206666667,90
92.08,72,ingroup,2,29,52.83,57.74,55.09,16.23,3.21,0,10.44,-87.04,44
92.45,32,neutral,2,42,95.09,88.68,100,17.92,0,0,89.18,-88.05333333,-36
92.45,23,outgroup,2,19,77.92,85.47,80.94,17.36,0,0,62.88666667,-88.42666667,-54
92.47,97,ingroup,2,37,76.46,73.26,63.65,77.78,25.8,13.75,42.24666667,-21.78,94
92.84,91,outgroup,1,23,87.76,85.12,86.06,61.96,11.86,18.83,72.62666667,-38.23333333,82
94.38,2,outgroup,2,26,93.51,77.27,100,0,16.23,0,80.52,-89.18,-96
94.72,93,outgroup,2,29,90.75,90.38,74.15,32.83,26.04,10.19,70.18666667,-53.96,86
97.74,100,outgroup,1,25,76.42,77.92,79.06,23.77,25.66,24.15,55.6,-50.94666667,100
98.11,98,outgroup,1,56,50,50.19,31.7,46.98,50,14.91,-12.07333333,-25.40666667,96
98.24,98,ingroup,1,61,77.53,79.15,56.83,3.38,3.52,3.96,42.34,-92.76,96
98.49,50,neutral,2,45,78.34,84.18,82.49,8.85,3.01,1.13,63.34,-91.34,0
98.87,100,outgroup,1,64,51.98,90.02,55.18,0,0,0,31.45333333,-100,100
98.87,29,neutral,1,59,12.05,0,5.46,0,0,0,-88.32666667,-100,-42
99.25,92,outgroup,2,40,93.01,48.96,39.13,88.09,19.28,0,20.73333333,-28.42,84
99.62,3,outgroup,1,47,64.34,65.66,68.87,43.02,39.81,45.47,32.58,-14.46666667,-94
99.62,91,outgroup,1,31,85.66,71.51,86.6,8.87,8.68,3.21,62.51333333,-86.16,82
100,100,neutral,2,31,100,100,100,0,0,0,100,-100,100
100,0,ingroup,1,19,49.62,47.74,50,50,47.17,46.6,-1.76,-4.153333333,-100
100,50,outgroup,1,61,50.09,50.09,49.34,44.07,45.01,43.31,-0.32,-11.74,0
100,100,outgroup,2,44,61.58,67.61,42.18,33.15,38.61,40.87,14.24666667,-24.91333333,100
100,43,neutral,2,24,83.96,96.04,81.13,8.68,2.26,0,74.08666667,-92.70666667,-14
100,90,outgroup,2,28,100,80,72.08,0,0,0,68.05333333,-100,80
100,90,ingroup,2,42,76.23,58.68,80.19,53.4,20,0,43.4,-51.06666667,80
100,93,buddhist,1,30,66.67,75.52,65.54,25.05,36.72,21.28,38.48666667,-44.63333333,86
100,96,outgroup,2,24,64.41,63.65,75.33,0,0,0,35.59333333,-100,92
100,100,outgroup,2,31,61.13,58.68,58.68,63.77,56.42,50,18.99333333,13.46,100
100,100,buddhist,1,25,57.55,63.02,60.75,55.47,45.66,27.55,20.88,-14.21333333,100
100,60,outgroup,1,45,74.01,61.02,68.55,59.51,17.7,5.46,35.72,-44.88666667,20
100,49,outgroup,1,29,73.4,73.21,68.11,0,0,0,43.14666667,-100,-2
100,100,neutral,2,24,2.83,10,9.06,32.83,80.57,100,-85.40666667,42.26666667,100
100,65,ingroup,2,37,82.36,87.07,85.25,36.55,3.79,0,69.78666667,-73.10666667,30
100,10,outgroup,2,22,86.6,86.79,87.36,10.19,10.19,10,73.83333333,-79.74666667,-80
100,50,outgroup,2,46,100,76.65,72.13,100,61.58,34.84,65.85333333,30.94666667,0
100,100,neutral,2,25,0,0,0,100,100,100,-100,100,100
100,71,outgroup,1,22,54.34,54.91,61.51,0,0,0,13.84,-100,42
100,20,neutral,2,27,78.11,60.57,67.17,69.25,44.53,38.49,37.23333333,1.513333333,-60
100,50,outgroup,1,30,100,100,100,0,0,0,100,-100,0
100,85,outgroup,2,23,81.51,98.68,73.21,25.66,0,0.19,68.93333333,-82.76666667,70
100,91,ingroup,2,27,92.46,88.25,87.14,19.29,21.95,20.84,78.56666667,-58.61333333,82
100,100,buddhist,2,33,80.57,80.75,100,0,0,0,74.21333333,-100,100
100,80,ingroup,1,38,70.75,79.25,67.55,33.21,22.83,14.72,45.03333333,-52.82666667,60
100,75,outgroup,2,23,100,100,100,25.99,17.33,13.75,100,-61.95333333,50
100,100,ingroup,1,62,86.23,88.68,85.85,0,0,0,73.84,-100,100
100,5,outgroup,2,25,0,0,23.96,0,0,0,-84.02666667,-100,-90
100,51,outgroup,2,42,70.38,75.47,56.98,0,0,0,35.22,-100,2
100,90,outgroup,2,35,60,64.91,60.75,35.28,34.15,5.85,23.77333333,-49.81333333,80
100,80,buddhist,1,46,80.38,79.81,72.45,2.45,8.3,0,55.09333333,-92.83333333,60
100,100,outgroup,2,30,71.13,37.74,57.55,75.66,28.87,24.91,10.94666667,-13.70666667,100
100,50,ingroup,2,22,100,100,100,22.8,0,0,100,-84.8,0
100,92,outgroup,2,22,100,74.53,73.96,100,0,0,65.66,-33.33333333,84
100,44,outgroup,2,25,100,100,100,50,50,0,100,-33.33333333,-12
100,25,outgroup,1,21,67.55,73.4,72.64,28.68,10.19,32.64,42.39333333,-52.32666667,-50
100,56,outgroup,2,26,89.62,93.58,93.96,33.02,0,0,84.77333333,-77.98666667,12
100,81,outgroup,1,34,27.31,4.9,12.62,0,0,0,-70.11333333,-100,62
100,51,outgroup,1,29,77.55,77.36,77.36,0,0,0,54.84666667,-100,2
100,0,neutral,2,43,100,99.81,99.81,0,0,0,99.74666667,-100,-100
100,2,neutral,1,33,89.83,90.02,90.21,0.94,0,0.75,80.04,-98.87333333,-96
100,39,ingroup,2,27,72.64,76.04,78.11,0,0,0,51.19333333,-100,-22
100,71,buddhist,1,31,68.11,72.45,76.23,25.47,0,0,44.52666667,-83.02,42
100,59,neutral,2,34,100,100,89.62,13.96,0,0,93.08,-90.69333333,18
100,50,buddhist,2,25,75.28,61.7,69.06,72.26,21.32,2.83,37.36,-35.72666667,0
100,40,buddhist,1,39,67.36,74.15,78.87,29.62,16.04,25.28,46.92,-52.70666667,-20
100,0,ingroup,2,22,88.87,91.51,96.23,0,0,0,84.40666667,-100,-100
100,0,neutral,2,29,100,100,100,0,0,0,100,-100,-100
100,78,ingroup,1,25,93.58,96.79,92.26,4.91,8.3,6.23,88.42,-87.04,56
100,48,outgroup,1,39,64.97,62.9,59.51,21.51,24.15,22.83,24.92,-54.34,-4
100,90,outgroup,2,58,0,0,0,29.62,29.81,42.64,-100,-31.95333333,80
100,100,buddhist,1,52,89.06,89.06,90.38,12.26,13.58,13.58,79,-73.72,100
100,30,ingroup,2,41,51.89,57.17,57.17,40.94,43.96,38.11,10.82,-17.99333333,-40
100,59,outgroup,2,31,27.17,29.81,29.62,0,0,0,-42.26666667,-100,18
100,100,ingroup,2,24,100,100,100,0,0,0,100,-100,100
100,90,outgroup,2,51,59.51,59.89,59.32,41.24,40.87,32.77,19.14666667,-23.41333333,80
100,82,outgroup,1,34,60.64,60.83,38.79,65.35,73.26,94.73,6.84,55.56,64
100,85,outgroup,2,22,64.53,46.6,56.23,77.92,79.43,71.51,11.57333333,52.57333333,70
100,18,buddhist,2,28,87.36,87.17,83.21,13.4,15.47,0.75,71.82666667,-80.25333333,-64
100,80,ingroup,1,29,93.21,76.04,79.06,67.36,15.09,0,65.54,-45.03333333,60
100,100,outgroup,2,46,96.79,100,100,6.42,0,0,97.86,-95.72,100
100,79,outgroup,1,19,77.36,85.85,100,4.53,0,0,75.47333333,-96.98,58
100,69,outgroup,2,44,98.87,100,88.11,71.51,68.11,66.04,91.32,37.10666667,38
100,57,ingroup,2,25,87.95,91.34,77.4,34.27,30.32,6.03,71.12666667,-52.92,14
100,100,outgroup,1,34,70.19,83.02,60.75,32.08,33.02,0,42.64,-56.6,100
100,50,ingroup,2,32,100,100,100,58.68,50.38,50.19,100,6.166666667,0
100,0,ingroup,2,26,87.92,88.49,90.19,18.3,0,0,77.73333333,-87.8,-100
100,99,buddhist,1,34,65.85,66.42,67.36,0,0,0,33.08666667,-100,98
100,100,ingroup,2,51,58.49,69.06,67.17,53.96,46.04,30.57,29.81333333,-12.95333333,100
100,10,outgroup,2,32,75.33,89.64,76.65,25.24,25.99,5.08,61.08,-62.46,-80
100,50,neutral,1,43,79.1,78.13,77.54,0,0,0,56.51333333,-100,0
100,81,outgroup,2,38,32.08,31.7,20.57,11.13,4.91,3.96,-43.76666667,-86.66666667,62
100,95,neutral,2,22,75.66,84.15,80.19,21.32,10.75,0,60,-78.62,90
100,50,outgroup,2,24,100,100,49.81,0,0,0,66.54,-100,0
100,40,outgroup,1,20,75.85,73.02,71.89,44.34,30.94,0,47.17333333,-49.81333333,-20
100,98,outgroup,1,24,100,100,100,32.26,29.43,32.64,100,-37.11333333,96
100,72,neutral,2,30,68.49,78.87,52.08,58.87,26.04,26.04,32.96,-26.03333333,44
100,50,outgroup,2,48,99.25,92.08,95.28,50,0,0,91.07333333,-66.66666667,0
100,71,outgroup,1,22,86.25,20.9,11.3,39.55,16.01,16.38,-21.03333333,-52.04,42
100,100,outgroup,1,24,73.96,70.75,72.64,19.81,29.62,14.34,44.9,-57.48666667,100
100,51,outgroup,2,35,96.04,95.47,94.34,9.81,0.57,0.75,90.56666667,-92.58,2
100,100,outgroup,2,34,38.64,41.02,33.33,0,0,0,-24.67333333,-100,100
100,100,buddhist,1,58,72.94,55.89,62.64,0,0,0,27.64666667,-100,100
100,100,outgroup,1,30,28.11,16.98,16.23,0,0,0,-59.12,-100,100
100,0,ingroup,2,25,100,100,100,0,0,0,100,-100,-100
100,100,outgroup,2,24,11.11,64.97,0,0,0,0,-49.28,-100,100
100,9,outgroup,1,32,71.51,70.57,50.19,28.3,33.21,28.87,28.18,-39.74666667,-82
100,50,ingroup,1,33,100,100,100,0,0,0,100,-100,0
100,90,outgroup,1,33,73.21,74.34,69.81,59.25,58.87,34.53,44.90666667,1.766666667,80
100,100,outgroup,2,29,36.72,60.26,51.79,25.05,17.89,25.8,-0.82,-54.17333333,100
100,50,neutral,1,35,87.19,80.6,94.35,3.01,3.95,2.82,74.76,-93.48,0
100,50,buddhist,2,22,50,65.85,27.55,50,50,50,-4.4,0,0
100,75,outgroup,2,29,70.24,70.24,71.19,0,0,0,41.11333333,-100,50
100,5,outgroup,2,42,71.75,67.61,75.33,0,0,0,43.12666667,-100,-90
100,81,outgroup,2,21,74.72,74.34,78.87,0,0,0,51.95333333,-100,62
100,90,neutral,1,24,100,100,100,0,0,0,100,-100,80
100,100,buddhist,2,39,62.08,53.96,53.77,46.23,45.28,37.92,13.20666667,-13.71333333,100
100,92,ingroup,1,51,77.4,87.19,84.56,0,0,0.19,66.1,-99.87333333,84
100,49,ingroup,1,23,75.09,81.89,80.38,67.55,73.77,38.49,58.24,19.87333333,-2
