party,gender,age,ingroup.value,ingroup.like,ingroup.connected,outgroup.value,outgroup.like,outgroup.connected,ingroup.average,outgroup.average,condition,rating,date
1,1,22,87.5,72.31,23.65,68.85,12.69,14.23,22.30666667,-36.15333333,ingroup.win,77.694,
1,2,36,100,87.69,87.89,0,18.85,0,83.72,-87.43333333,outgroup.loss,100,
1,1,39,74.23,70.77,60.96,25.58,31.54,16.35,37.30666667,-51.02,neutral.loss,39.623,
1,1,30,76.2,91.94,80.04,14.59,16.7,8.45,65.45333333,-73.50666667,ingroup.win,95.849,
1,1,22,73.85,74.81,54.81,57.5,57.69,23.65,35.64666667,-7.44,neutral.loss,61.437,
1,2,22,64.49,67.37,27.64,53.74,13.82,4.8,6.333333333,-51.76,ingroup.win,100,
1,1,31,57.89,78.27,70.96,6.73,5.96,10.96,38.08,-84.23333333,neutral.loss,21.739,
1,1,23,50,49.81,49.81,50,51.35,47.31,-0.253333333,-0.893333333,ingroup.loss,0.94,
1,1,24,61.73,53.85,60,41.92,34.62,42.5,17.05333333,-20.64,neutral.loss,82.231,
1,1,28,81.15,83.65,89.42,21.73,21.73,21.35,69.48,-56.79333333,neutral.loss,41.777,
1,2,25,62.89,73.46,72.89,37.69,19.62,0,39.49333333,-61.79333333,ingroup.loss,50.85,
1,1,25,15.39,16.92,15.19,7.89,5.39,3.27,-68.33333333,-88.96666667,ingroup.win,78.45,
1,2,39,76.82,85.89,86.03,10.75,4.19,0,65.82666667,-90.04,ingroup.win,100,
1,2,37,77.5,73.85,77.69,37.5,14.42,7.5,52.69333333,-60.38666667,outgroup.loss,73.535,
1,2,35,58.83,58.53,58.22,0,0,0,17.05333333,-100,outgroup.win,100,
1,1,25,77.69,71.92,80.77,44.62,65.58,57.89,53.58666667,12.06,neutral.loss,-43.289,
1,1,22,84.23,84.62,63.46,75.39,32.12,30.77,54.87333333,-7.813333333,outgroup.loss,71.645,
1,1,23,45.77,54.42,65,55.19,50,50,10.12666667,3.46,outgroup.loss,-16.068,
1,1,20,71.73,80.39,80.39,8.65,0,0,55.00666667,-94.23333333,neutral.win,63.705,
1,2,22,44.81,51.54,52.69,6.35,11.92,6.92,-0.64,-83.20666667,outgroup.win,86.011,
1,2,23,63.65,66.35,61.92,50,50,50,27.94666667,0,outgroup.win,40.643,
1,2,31,52.69,52.89,47.5,0,0,0,2.053333333,-100,outgroup.loss,19.849,
1,2,34,100,100,100,0,0,0,100,-100,outgroup.win,100,
1,1,36,43.27,39.81,40.77,30,24.81,6.73,-17.43333333,-58.97333333,ingroup.win,100,
1,1,24,65.39,65.96,59.62,50,37.69,34.62,27.31333333,-18.46,ingroup.loss,60.3,
1,1,41,100,100,100,0,0,0,100,-100,outgroup.win,81.979,
1,1,30,57.12,62.31,34.62,26.15,25.58,0,2.7,-65.51333333,outgroup.win,87.146,
1,2,55,60.77,51.92,45,27.5,28.08,17.69,5.126666667,-51.15333333,neutral.win,61.059,
1,2,57,63.15,62.76,62.76,56.81,54.32,50.1,25.78,7.486666667,neutral.win,99.623,
1,1,37,38.31,39.23,35.08,15.69,15.39,4.15,-24.92,-76.51333333,ingroup.loss,40.53,
1,2,25,49.42,54.23,68.46,49.62,28.65,12.89,14.74,-39.22666667,ingroup.win,53.497,
1,2,49,77.69,78.27,60.58,76.35,75.58,50,44.36,34.62,outgroup.loss,19.849,
1,1,28,22.5,28.46,7.12,0,0,0,-61.28,-100,outgroup.loss,-67.108,
1,2,21,83.3,93.09,74.47,50.1,41.46,0,67.24,-38.96,neutral.win,40.377,
1,1,40,63.44,64.98,58.37,54.99,53.61,47.93,24.52666667,4.353333333,neutral.loss,60.414,
1,1,21,62.5,66.73,68.85,25.77,10.77,3.08,32.05333333,-73.58666667,neutral.loss,61.815,
1,1,29,93.68,86.97,85.82,0,0,0,77.64666667,-100,outgroup.win,100,
1,1,23,80.42,80.23,81.38,6.72,5.57,5.18,61.35333333,-88.35333333,ingroup.loss,69.81,
1,2,28,86.35,98.85,90.19,8.65,1.35,4.62,83.59333333,-90.25333333,ingroup.win,80.718,
1,1,55,90.39,84.04,78.46,8.46,7.5,8.27,68.59333333,-83.84666667,ingroup.loss,81.47,
1,2,41,93.08,93.39,93.08,4.15,2.46,2.46,86.36666667,-93.95333333,outgroup.loss,81.065,
1,1,25,99.62,100,100,2.5,2.69,2.5,99.74666667,-94.87333333,outgroup.win,82.987,
1,1,23,50.1,50.1,49.9,0,0,0,0.066666667,-100,neutral.win,100,
1,1,32,25.39,25.58,25.58,76.15,75.96,75.19,-48.96666667,51.53333333,neutral.win,100,
1,1,22,42.12,42.89,33.85,0,0,0,-20.76,-100,outgroup.loss,100,
1,1,28,57.31,55.58,51.73,41.73,13.46,0,9.746666667,-63.20666667,neutral.loss,46.314,
1,1,22,67.18,67.37,57.01,66.99,31.48,17.85,27.70666667,-22.45333333,neutral.loss,59.623,
1,2,38,76.92,61.15,70.39,46.92,25.39,10.77,38.97333333,-44.61333333,outgroup.loss,39.887,
1,1,28,90.17,89.93,89.2,5.1,4.61,3.88,79.53333333,-90.94,neutral.loss,63.986,
1,2,45,80,81.73,80.96,11.15,10,7.5,61.79333333,-80.9,outgroup.win,97.732,
1,2,24,69.23,87.5,76.15,12.31,5.77,10.96,55.25333333,-80.64,outgroup.win,56.144,
1,1,27,76.54,61.73,59.04,55.77,23.46,22.89,31.54,-31.92,ingroup.loss,40.64,
1,1,21,60.19,24.42,25.39,45.58,11.73,16.54,-26.66666667,-50.76666667,ingroup.loss,41.4,
1,1,22,29.42,30,38.65,59.04,57.12,50,-34.62,10.77333333,neutral.win,31.191,
1,2,30,100,100,100,35,0,0,100,-76.66666667,ingroup.win,100,
1,1,29,18.2,23.56,10.35,0,0,0,-65.26,-100,neutral.loss,21.887,
1,2,19,67.5,60.39,63.85,48.65,41.35,33.27,27.82666667,-17.82,ingroup.win,81.475,
1,1,31,55.47,55.28,43.57,50.29,50.1,38.2,2.88,-7.606666667,neutral.win,40.755,
1,2,28,83.85,84.47,66.87,13.67,14.08,15.11,56.79333333,-71.42666667,outgroup.win,81.707,
1,1,30,67.5,69.23,67.31,34.42,34.62,32.69,36.02666667,-32.18,ingroup.loss,17.96,
1,2,31,54.98,54.22,57.09,45.94,45.59,45.79,10.86,-8.453333333,neutral.loss,-16.226,
1,1,31,67.05,67.63,52.68,41.57,17.63,0,24.90666667,-60.53333333,outgroup.win,100,
1,1,23,92.13,88.87,93.86,3.46,1.34,2.5,83.24,-95.13333333,ingroup.win,95.094,
1,1,27,85,74.23,74.42,61.73,24.04,13.46,55.76666667,-33.84666667,ingroup.win,100,
1,2,37,100,100,100,0,0,0,100,-100,outgroup.win,100,
1,2,54,50,50,50,42.12,50,40.58,0,-11.53333333,neutral.loss,-0.189,
1,2,34,62.96,57.62,63.57,35.37,21.49,3.35,22.76666667,-59.86,outgroup.loss,71.976,
1,1,30,59.23,59.23,56.35,18.85,12.69,0,16.54,-78.97333333,ingroup.win,37.24,
1,1,21,66.92,52.89,44.23,65.19,36.92,20.39,9.36,-18.33333333,outgroup.loss,60.68,
1,2,23,73.51,86.37,89.83,14.78,7.49,17.27,66.47333333,-73.64,neutral.win,34.717,
1,1,34,100,95.39,93.85,0,0,0,92.82666667,-100,neutral.loss,61.059,
1,1,25,56.15,56.15,57.12,40.39,40.19,40.19,12.94666667,-19.48666667,neutral.win,11.909,
1,2,26,57.77,60.46,62.19,41.65,39.16,36.28,20.28,-21.94,outgroup.loss,100,
1,1,24,70.44,50.1,50.1,0,0,0,13.76,-100,outgroup.loss,100,
1,2,25,100,100,100,0,0,0.15,100,-99.9,ingroup.loss,100,
1,1,29,64.92,78,72.77,93.23,71.85,77.54,43.79333333,61.74666667,outgroup.win,34.32,
1,1,27,70.96,66.54,72.12,6.15,13.65,16.15,39.74666667,-76.03333333,neutral.loss,53.875,
1,2,24,59.42,60.77,55.39,24.62,9.23,25.39,17.05333333,-60.50666667,neutral.loss,69.376,
1,2,29,79.04,89.42,68.27,10,2.12,0,57.82,-91.92,outgroup.win,73.157,
1,1,27,90.58,91.35,91.35,21.35,5.58,4.23,82.18666667,-79.22666667,outgroup.loss,65.973,
1,2,48,53.94,53.94,42.61,45.49,45.49,46.26,0.326666667,-8.506666667,outgroup.loss,83.019,
1,1,25,55.19,66.92,69.23,50,27.31,34.81,27.56,-25.25333333,outgroup.win,80.34,
1,2,35,75,85,89.62,20.19,11.73,4.04,66.41333333,-76.02666667,neutral.win,58.034,
1,1,23,66.92,64.04,81.35,27.31,24.81,0,41.54,-65.25333333,neutral.win,41.021,
1,2,36,65,62.69,51.15,71.92,51.92,40,19.22666667,9.226666667,outgroup.win,93.195,
1,1,73,73.76,73.76,74.33,69.54,46.17,21.65,47.9,-8.426666667,neutral.win,61.509,
1,1,24,36.85,45.3,15.74,0,0,0,-34.74,-100,neutral.loss,31.321,
1,1,27,60.92,54.02,54.02,9.77,6.71,6.51,12.64,-84.67333333,outgroup.loss,68.302,
1,1,22,50.77,33.65,16.73,21.15,19.81,18.46,-32.56666667,-60.38666667,neutral.win,3.214,
1,2,44,89.82,90.36,88.18,0,0,0,78.90666667,-100,neutral.win,100,
1,1,36,26.35,16.35,15.58,3.46,3.08,1.54,-61.14666667,-94.61333333,outgroup.loss,94.329,
1,2,48,73.08,73.27,73.08,32.12,32.31,32.69,46.28666667,-35.25333333,outgroup.loss,81.853,
1,2,28,81,75.62,57.39,22.65,14.78,4.61,42.67333333,-71.97333333,ingroup.loss,88.3,
1,2,72,72.64,76.2,66.62,56.26,53.32,41.42,43.64,0.666666667,outgroup.loss,75.48,
1,1,31,69.81,59.81,65,50,50,44.42,29.74666667,-3.72,outgroup.win,61.437,
1,1,35,53.65,25.39,0.39,0,0,0,-47.04666667,-100,outgroup.loss,82.987,
1,2,31,78.08,60.58,61.92,52.69,54.23,40.77,33.72,-1.54,neutral.loss,59.546,
1,2,50,50,50,50,49.08,50,50,0,-0.613333333,ingroup.loss,-0.3,
1,2,47,100,100,100,20.39,21.15,21.73,100,-57.82,outgroup.win,100,
1,2,36,86.54,90.96,88.08,2.31,9.04,0,77.05333333,-92.43333333,ingroup.win,98.488,
1,1,30,59.23,63.85,41.15,0,0,0,9.486666667,-100,neutral.win,62.193,
1,2,65,100,100,100,0,0,0,100,-100,neutral.win,99.244,
1,1,28,55.66,39.54,53.55,6.14,6.14,7.1,-0.833333333,-87.08,neutral.loss,64.528,
1,2,40,88.94,82.49,75.58,30.88,20.89,12.14,64.67333333,-57.39333333,ingroup.win,60.118,
1,1,29,68.27,68.85,58.27,60,42.12,30.19,30.26,-11.79333333,outgroup.win,100,
1,2,30,50.1,50.1,51.06,0,0,0,0.84,-100,neutral.loss,50.566,
1,2,52,100,78.46,88.85,0,0,0,78.20666667,-100,ingroup.loss,100,
1,2,48,62.5,62.31,64.04,30.77,29.62,30,25.9,-39.74,ingroup.loss,100,
1,2,19,72.31,80.39,64.62,11.54,11.54,0,44.88,-84.61333333,ingroup.win,81.096,
1,1,30,14.62,13.65,12.89,0,0,0,-72.56,-100,ingroup.win,100,
1,1,30,78.89,79.46,0,0,0,0,5.566666667,-100,outgroup.loss,100,
1,2,29,100,75.58,72.31,2.5,1.15,3.08,65.26,-95.51333333,outgroup.loss,100,
1,1,32,56.24,76.2,60.08,28.02,18.43,28.41,28.34666667,-50.09333333,ingroup.loss,11.32,
1,2,29,70.39,64.42,70.58,22.31,20.77,6.73,36.92666667,-66.79333333,ingroup.win,84.121,
1,2,59,93.85,95.96,95.96,17.5,13.08,4.23,90.51333333,-76.79333333,neutral.win,98.488,
1,1,33,51.15,50,50,0,0,0,0.766666667,-100,outgroup.loss,100,
1,1,29,74.54,68.71,70.86,76.07,52.61,23.01,42.74,1.126666667,ingroup.loss,15.51,
1,2,37,69.04,78.08,78.85,0,0,0,50.64666667,-100,neutral.win,80.34,
1,2,29,83.08,61.15,60.96,14.23,0,0,36.79333333,-90.51333333,outgroup.win,100,
1,2,30,90.4,90.02,92.71,0.58,0.96,3.07,82.08666667,-96.92666667,neutral.win,88.302,
1,1,33,40.31,50.1,28.98,37.24,37.43,13.44,-20.40666667,-41.26,outgroup.loss,81.509,
1,2,33,100,100,100,0,0,0,100,-100,neutral.loss,61.509,
1,1,25,77.69,88.65,92.69,25.96,20,24.81,72.68666667,-52.82,neutral.loss,38.374,
1,2,40,78.46,81.54,77.89,38.65,39.04,39.62,58.59333333,-21.79333333,outgroup.loss,58.412,
1,2,25,100,82.31,66.92,0,0,0,66.15333333,-100,outgroup.win,100,
1,1,32,57.97,61.04,41.46,16.7,0,0,6.98,-88.86666667,outgroup.loss,40.377,
1,1,22,45.77,46.15,45.19,28.46,22.69,31.92,-8.593333333,-44.62,ingroup.win,-22.117,
1,1,41,67.89,63.08,63.46,28.27,28.08,28.85,29.62,-43.2,neutral.loss,41.777,
1,1,38,50,67.69,50,20.96,4.23,0,11.79333333,-83.20666667,outgroup.loss,79.206,
1,2,57,78.46,77.12,70.19,32.89,29.23,26.35,50.51333333,-41.02,neutral.win,88.679,
1,1,24,59.23,69.42,68.46,34.04,36.92,36.35,31.40666667,-28.46,outgroup.loss,62.949,
1,1,23,24.76,21.11,10.37,12.48,18.81,5.18,-62.50666667,-75.68666667,outgroup.win,88.302,
1,1,29,90,96.15,85.96,0,0,0,81.40666667,-100,neutral.loss,61.437,
1,1,57,85.14,83.9,64.4,13.93,0,0,55.62666667,-90.71333333,neutral.win,41.124,
1,2,21,71.15,78.65,62.5,0,0,0,41.53333333,-100,outgroup.win,81.096,
1,2,26,71.02,72.36,64.68,18.23,10.75,0,38.70666667,-80.68,ingroup.loss,100,
1,2,50,75.19,75.96,83.85,33.85,14.62,0,56.66666667,-67.68666667,ingroup.loss,81.47,
1,1,41,22.89,29.23,17.31,38.65,28.27,13.65,-53.71333333,-46.28666667,neutral.loss,42.155,
1,1,24,64.62,64.81,65.19,0,0,0,29.74666667,-100,outgroup.loss,81.096,
1,2,46,81.92,86.73,83.85,20.19,9.81,0,68.33333333,-80,outgroup.win,100,
1,4,44,34.04,32.12,29.81,32.5,30.19,32.31,-36.02,-36.66666667,outgroup.win,79.206,
1,2,26,88.46,68.27,59.81,10.77,0,0,44.36,-92.82,outgroup.win,100,
1,1,25,62.89,56.54,56.15,26.15,36.54,40,17.05333333,-31.54,neutral.win,10.775,
1,1,26,52.12,52.69,53.46,29.62,28.85,27.5,5.513333333,-42.68666667,neutral.loss,62.571,
1,2,61,85.58,85.39,72.89,7.69,9.62,0,62.57333333,-88.46,ingroup.loss,81.1,
1,1,32,88.93,90.1,89.89,21.36,37.88,37.88,79.28,-35.25333333,ingroup.loss,60.11,
1,2,52,85.96,92.12,64.04,7.5,0,0,61.41333333,-95,ingroup.win,100,
1,2,33,82.69,39.81,74.42,1.92,2.31,2.69,31.28,-95.38666667,ingroup.loss,91.3,
1,1,37,60.85,62.38,65.64,41.46,41.08,42.8,25.91333333,-16.44,outgroup.win,20.377,
1,2,27,50,68.85,60,50,40,24.04,19.23333333,-23.97333333,ingroup.win,-20.227,
1,2,34,76.15,77.69,95.77,31.35,31.73,19.04,66.40666667,-45.25333333,ingroup.loss,39.89,
1,2,27,31.29,23.8,29.94,23.23,0,18.62,-43.31333333,-72.1,neutral.win,93.208,
1,2,42,90.58,91.73,55,89.42,88.65,44.81,58.20666667,48.58666667,outgroup.win,97.732,
1,2,60,100,99.81,100,0,0,0,99.87333333,-100,outgroup.win,100,
1,1,25,59.42,57.89,50.58,23.46,23.65,3.46,11.92666667,-66.28666667,ingroup.win,55.766,
1,2,34,23.08,18.65,56.92,16.92,17.31,58.65,-34.23333333,-38.08,ingroup.loss,83.4,
1,1,19,75.96,82.31,80.19,10.58,22.5,4.23,58.97333333,-75.12666667,outgroup.win,79.206,
1,1,22,50,56.73,58.08,8.08,1.54,1.73,9.873333333,-92.43333333,outgroup.win,80.34,
1,1,23,65.77,55.58,41.73,8.46,0,5.96,8.72,-90.38666667,outgroup.win,100,
1,1,23,61.35,43.08,64.04,58.65,43.46,53.85,12.31333333,3.973333333,ingroup.loss,-16.13,
1,2,49,55.09,54.89,55.47,51.25,52.02,52.78,10.3,4.033333333,neutral.win,82.264,
1,1,18,68.27,60.39,52.5,49.04,54.81,43.65,20.77333333,-1.666666667,neutral.loss,22.117,
1,1,40,66.15,56.35,57.69,51.54,36.73,22.69,20.12666667,-26.02666667,ingroup.win,61.815,
1,1,19,51.73,52.5,51.73,50,49.62,50,3.973333333,-0.253333333,neutral.loss,56.522,
1,1,44,99.69,100,90.78,7.37,0,0,93.64666667,-95.08666667,outgroup.loss,100,
1,2,52,69.81,50,62.89,15.19,2.89,0.39,21.8,-87.68666667,ingroup.win,94.707,
1,1,24,73.51,67.56,61.8,0,0,0,35.24666667,-100,outgroup.win,100,
1,1,32,72.36,80.04,65.45,5.18,4.99,4.61,45.23333333,-90.14666667,neutral.win,51.321,
1,2,21,69.23,67.31,83.08,5,3.85,0,46.41333333,-94.1,outgroup.loss,70.888,
1,1,25,52.69,40.77,33.08,26.73,27.31,9.62,-15.64,-57.56,ingroup.loss,42.53,
1,2,26,76.35,77.5,50,0,0,0,35.9,-100,neutral.loss,42.155,
1,1,26,87.89,85.96,92.5,33.08,32.12,2.89,77.56666667,-54.60666667,neutral.win,76.938,
1,2,20,93.09,94.63,93.67,4.8,6.53,4.03,87.59333333,-89.76,outgroup.win,65.283,
1,2,28,64.68,78.31,50.1,5.37,3.84,0,28.72666667,-93.86,neutral.win,100,
1,1,26,81.35,81.54,64.04,30,30.96,20.39,51.28666667,-45.76666667,outgroup.loss,80.718,
1,1,19,73.85,77.12,66.35,36.15,30.96,37.89,44.88,-30,ingroup.win,99.622,
1,2,37,60,60.39,61.54,48.46,46.73,26.15,21.28666667,-19.10666667,neutral.win,59.546,
1,2,22,83.11,79.08,85.99,20.92,0,20.54,65.45333333,-72.36,ingroup.win,87.547,
1,1,25,62.89,70.77,59.04,55.77,65.77,43.65,28.46666667,10.12666667,outgroup.loss,100,
1,1,26,32.89,20.96,32.69,0,0,0,-42.30666667,-100,neutral.win,44.423,
1,1,21,58.46,55,56.54,36.15,34.23,31.54,13.33333333,-32.05333333,outgroup.loss,-25.52,
1,1,23,46.73,51.35,51.92,35.19,33.08,38.46,0,-28.84666667,neutral.loss,41.777,
1,2,51,37.24,53.36,38.2,3.26,3.65,4.03,-14.13333333,-92.70666667,ingroup.loss,98.49,
1,4,22,58.08,56.35,40.19,5.39,2.5,0.96,3.08,-94.1,neutral.win,59.168,
1,2,49,50.1,52.78,24.38,12.86,11.9,0,-15.16,-83.49333333,outgroup.loss,100,
1,1,19,47.03,64.3,41.08,40.88,47.03,27.83,1.606666667,-22.84,outgroup.win,46.793,
1,2,26,68.08,67.12,60,45,36.15,23.46,30.13333333,-30.26,ingroup.loss,60.38,
1,1,28,68.08,73.08,61.54,30.39,24.42,32.31,35.13333333,-41.92,ingroup.loss,45.56,
1,1,28,100,74.81,71.92,100,63.08,63.46,64.48666667,51.02666667,ingroup.win,28.544,
1,2,29,76.2,71.79,62.96,0,0,0,40.63333333,-100,outgroup.win,100,
1,1,22,75.96,51.92,76.35,48.08,24.04,7.89,36.15333333,-46.66,ingroup.win,61.059,
1,1,32,64.11,57.77,61.42,55.85,35.51,31.09,22.2,-18.36666667,ingroup.loss,46.41,
1,2,45,17.69,0.96,1.73,15.58,15.39,0,-86.41333333,-79.35333333,outgroup.win,96.597,
1,2,22,80.46,80.21,80.08,59.9,33.03,33.29,60.5,-15.85333333,ingroup.win,60.448,
1,1,38,88.08,86.73,83.08,0,0,0,71.92666667,-100,outgroup.loss,100,
1,1,44,75.39,70.58,62.12,0,0,0,38.72666667,-100,outgroup.win,89.414,
1,1,29,68.33,66.41,66.03,21.69,30.13,23.23,33.84666667,-49.96666667,neutral.loss,30.189,
1,2,38,93.52,95.63,93.8,4.65,2.39,3.24,88.63333333,-93.14666667,outgroup.loss,92.925,
1,1,24,79.04,84.04,68.27,34.81,15,24.42,54.23333333,-50.51333333,outgroup.loss,-0.567,
1,1,31,10.96,23.08,2.89,0,0,0,-75.38,-100,neutral.loss,20.227,
1,1,22,62.19,73.7,57.58,54.51,40.5,42.42,28.98,-8.38,outgroup.loss,33.962,
1,2,31,73.51,78.12,84.26,30.33,33.78,10.56,57.26,-50.22,neutral.win,50.566,
1,1,29,63.08,62.5,55.39,58.08,57.12,56.92,20.64666667,14.74666667,ingroup.loss,78.83,
1,1,25,64.81,65.19,56.73,15.58,19.23,10,24.48666667,-70.12666667,neutral.win,81.475,
1,1,21,33.7,34.42,29.21,10.67,10.67,0.73,-35.11333333,-85.28666667,neutral.loss,78.177,
1,1,31,65.66,62.77,62.77,25.54,7.8,7.8,27.46666667,-72.57333333,outgroup.win,71.149,
1,1,24,14.42,14.04,70.19,18.65,18.46,47.89,-34.23333333,-43.33333333,neutral.loss,41.021,
1,1,30,68.85,54.42,70.77,43.85,41.92,18.08,29.36,-30.76666667,neutral.win,-0.189,
1,1,29,60.58,55.19,55.39,44.23,10,10.58,14.10666667,-56.79333333,ingroup.win,71.645,
1,1,54,62.57,70.44,65.45,14.97,9.6,14.4,32.30666667,-74.02,neutral.loss,35.472,
1,1,25,78.65,78.65,58.46,21.92,21.54,0,43.84,-71.02666667,outgroup.loss,41.777,
1,1,22,55.19,55,40.96,14.04,0,3.27,0.766666667,-88.46,outgroup.win,81.853,
1,1,32,34.17,17.66,22.46,23.23,11.71,0,-50.47333333,-76.70666667,neutral.loss,60.755,
1,2,25,55,53.46,58.85,53.08,46.54,40.77,11.54,-6.406666667,neutral.loss,39.887,
1,1,28,50,50,50,50,50,50,0,0,ingroup.win,100,
1,1,48,100,100,100,0,0,0,100,-100,ingroup.loss,100,
1,1,30,21.31,17.47,4.61,6.14,6.91,0,-71.07333333,-91.3,neutral.loss,21.509,
1,1,20,75.77,77.89,81.35,29.62,20.19,24.23,56.67333333,-50.64,neutral.win,69.434,
1,1,38,71.92,73.85,61.54,50,50,50,38.20666667,0,ingroup.loss,38.75,
1,1,31,80.39,79.23,80.19,5.39,0,0,59.87333333,-96.40666667,ingroup.loss,39.13,
1,2,35,81.54,77.89,78.08,0,0,0,58.34,-100,outgroup.loss,96.981,
1,2,29,71.52,77.7,69.21,61.58,56.61,51.03,45.62,12.81333333,ingroup.loss,14.63,
1,2,19,75.96,75.96,58.46,24.81,21.35,0.58,40.25333333,-68.84,neutral.win,-39.508,
1,1,22,84.81,84.62,79.42,26.73,37.69,0,65.9,-57.05333333,outgroup.loss,80.718,
1,2,24,89.23,89.42,98.46,12.31,7.89,0,84.74,-86.53333333,outgroup.win,89.792,
1,1,36,57.69,58.46,57.89,41.15,31.73,27.69,16.02666667,-32.95333333,outgroup.loss,58.034,
1,1,18,39.35,39.16,38.77,36.08,0.77,34.74,-21.81333333,-52.27333333,ingroup.loss,79.24,
1,2,30,75,99.62,66.73,53.65,36.54,46.35,60.9,-8.973333333,ingroup.win,40.265,
1,1,31,99.81,90.19,78.46,12.5,2.12,0,78.97333333,-90.25333333,neutral.loss,81.096,
1,1,29,97.7,99.04,98.66,19.96,20.35,8.64,96.93333333,-67.36666667,ingroup.loss,69.06,
1,2,35,94.62,100,100,12.5,0,0,96.41333333,-91.66666667,outgroup.loss,88.658,
1,2,29,69.87,85.61,61.42,31.29,6.72,8.06,44.6,-69.28666667,neutral.loss,61.887,
1,1,53,80.23,88.87,89.83,15.55,3.46,0,72.62,-87.32666667,outgroup.loss,72.453,
1,2,56,52.4,53.63,51.17,48.71,47.95,47.49,4.8,-3.9,neutral.win,60.453,
1,2,30,74.86,74.66,64.68,43.57,36.08,28.41,42.8,-27.96,neutral.win,71.698,
1,1,29,42.61,44.91,43.57,30.33,32.82,21.88,-12.60666667,-43.31333333,neutral.loss,38.868,
1,1,25,81.73,89.23,91.15,10.19,5,0.77,74.74,-89.36,neutral.loss,81.096,
1,1,35,53.36,36.66,36.08,66.03,30.9,30.52,-15.93333333,-15.03333333,outgroup.win,40.377,
1,1,49,92.31,92.89,79.81,4.23,0,0.19,76.67333333,-97.05333333,outgroup.win,99.244,
1,2,52,100,92.5,98.65,0,0,0,94.1,-100,ingroup.win,100,
1,2,22,85.96,85.58,85.58,6.15,6.35,5.96,71.41333333,-87.69333333,ingroup.win,98.11,
1,2,23,100,100,100,100,100,64.42,100,76.28,outgroup.win,100,
1,1,22,50.58,67.69,51.15,49.42,28.27,30,12.94666667,-28.20666667,neutral.win,57.656,
1,1,53,57.89,43.27,26.54,27.31,15.39,18.08,-14.86666667,-59.48,neutral.win,30.813,
1,2,59,100,100,87.69,11.54,11.35,0,91.79333333,-84.74,outgroup.win,100,
1,1,20,74.23,85.39,38.46,26.92,0,0,32.05333333,-82.05333333,ingroup.loss,61.06,
1,1,46,70.96,70.58,65.58,14.23,14.81,0,38.08,-80.64,outgroup.win,75.047,
1,2,37,57.97,48.94,36.85,30.13,3.84,3.65,-4.16,-74.92,ingroup.win,78.491,
1,2,27,66.92,80,88.46,16.73,8.46,0.77,56.92,-82.69333333,outgroup.loss,62.571,
1,1,24,75.96,69.81,65.77,4.42,0,0,41.02666667,-97.05333333,neutral.win,90.17,
1,2,26,77.69,81.92,48.85,27.12,28.46,50,38.97333333,-29.61333333,neutral.win,75.425,
1,2,27,76.78,67.18,62,0,0,0,37.30666667,-100,ingroup.loss,60.38,
1,2,33,77.5,78.27,74.42,61.73,62.12,62.89,53.46,24.49333333,ingroup.win,37.996,
1,2,20,74.62,74.04,74.04,72.12,71.92,71.73,48.46666667,43.84666667,ingroup.win,81.475,
1,1,23,100,100,100,0,0,0,100,-100,ingroup.win,100,
1,2,27,50.1,67.95,58.93,19,5.76,6.14,17.98666667,-79.4,outgroup.loss,100,
1,1,21,90.19,99.23,88.27,68.27,64.23,54.04,85.12666667,24.36,neutral.win,67.486,
1,1,33,53.08,56.15,53.27,39.23,33.08,21.15,8.333333333,-37.69333333,neutral.win,61.059,
1,1,23,40.58,39.42,38.27,25,24.42,23.08,-21.15333333,-51.66666667,outgroup.win,100,
1,1,32,59.69,58.35,39.35,52.98,17.47,34.55,4.926666667,-30,ingroup.win,86.793,
1,2,37,51.15,50,50.96,41.73,39.81,44.42,1.406666667,-16.02666667,ingroup.loss,66.73,
1,1,32,39.54,8.25,23.8,9.98,10.56,10.56,-52.27333333,-79.26666667,outgroup.win,99.623,
1,1,63,66.41,66.72,67.33,21.93,21.63,21.17,33.64,-56.84666667,ingroup.loss,80.21,
1,1,25,67.95,81.38,61.61,13.05,14.59,13.63,40.62666667,-72.48666667,neutral.win,40.377,
1,1,34,100,88.27,81.92,0,11.15,10.58,80.12666667,-85.51333333,outgroup.win,29.679,
1,1,51,79.23,72.5,72.5,8.46,7.89,0,49.48666667,-89.1,ingroup.win,100,
1,1,29,97.12,97.31,88.46,0,0,13.85,88.59333333,-90.76666667,outgroup.win,100,
1,1,21,31.73,27.12,29.42,21.15,16.54,14.04,-41.15333333,-65.51333333,neutral.win,19.849,
1,1,25,55.47,56.81,42.8,37.62,37.81,25.53,3.386666667,-32.69333333,neutral.loss,59.245,
1,1,27,66.1,33.44,43.71,45.25,62.12,48.77,-4.5,4.093333333,ingroup.win,100,
1,2,25,64.42,63.65,64.04,0,0,0,28.07333333,-100,ingroup.loss,57.28,
1,2,55,76.35,83.08,61.92,0,0,0,47.56666667,-100,neutral.win,100,
1,1,34,60.65,57.58,53.94,4.8,0,0,14.78,-96.8,neutral.loss,32.453,
1,1,36,74.81,73.65,62.5,0,0,0,40.64,-100,outgroup.loss,91.682,
1,1,23,68.35,79.45,72.1,38.99,33.61,28.06,46.6,-32.89333333,neutral.loss,57.175,
1,1,31,58.93,59.89,58.93,13.24,5.37,11.71,18.5,-79.78666667,ingroup.win,100,
